TICKER,CIK,NAME,EXCHANGE
UBS,0001610520,UBS Group AG,NYSE
ABNB,0001559720,"Airbnb, Inc.",Nasdaq
CI,0001739940,Cigna Group,NYSE
SNPS,0000883241,SYNOPSYS INC,Nasdaq
PANW,0001327567,Palo Alto Networks Inc,Nasdaq
CSLLY,0001274152,CSL LTD,OTC
ZTS,0001555280,Zoetis Inc.,NYSE
BSX,0000885725,BOSTON SCIENTIFIC CORP,NYSE
DEO,0000835403,DIAGEO PLC,NYSE
KKR,0001404912,KKR & Co. Inc.,NYSE
IBN,0001103838,ICICI BANK LTD,NYSE
CME,0001156375,CME GROUP INC.,Nasdaq
NTES,0001110646,"NetEase, Inc.",Nasdaq
KLAC,0000319201,KLA CORP,Nasdaq
SO,0000092122,SOUTHERN CO,NYSE
SLB,0000087347,SCHLUMBERGER LIMITED/NV,NYSE
TOELY,0001443276,Tokyo Electron LTD,OTC
ATLKY,0000748954,ATLAS COPCO AB,OTC
CNI,0000016868,CANADIAN NATIONAL RAILWAY CO,NYSE
MELI,0001099590,MERCADOLIBRE INC,Nasdaq
FI,0000798354,FISERV INC,NYSE
EQIX,0001101239,EQUINIX INC,Nasdaq
CFRUY,0000948401,COMPAGNIE FINANCIERE RICHEMONT AG /FI,OTC
EOG,0000821189,EOG RESOURCES INC,NYSE
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC,Nasdaq
CNQ,0001017413,CANADIAN NATURAL RESOURCES LTD,NYSE
INFY,0001067491,Infosys Ltd,NYSE
ITW,0000049826,ILLINOIS TOOL WORKS INC,NYSE
MO,0000764180,"ALTRIA GROUP, INC.",NYSE
GSK,0001131399,GSK plc,NYSE
ENLAY,0001096200,ENEL SOCIETA PER AZIONI,OTC
ENB,0000895728,ENBRIDGE INC,NYSE
GLNCY,0001524684,Glencore plc/ADR,OTC
BTI,0001303523,British American Tobacco p.l.c.,NYSE
RELX,0000929869,RELX PLC,NYSE
NOC,0001133421,NORTHROP GRUMMAN CORP /DE/,NYSE
ABBNY,0001091587,ABB LTD,OTC
SHW,0000089800,SHERWIN WILLIAMS CO,NYSE
SHECY,0001442651,"Shin-Etsu Chemical Co., Ltd.",OTC
WM,0000823768,WASTE MANAGEMENT INC,NYSE
DUK,0001326160,Duke Energy CORP,NYSE
MBGYY,0001067318,DAIMLER AG,OTC
VALE,0000917851,Vale S.A.,NYSE
BDX,0000010795,BECTON DICKINSON & CO,NYSE
ANET,0001596532,"Arista Networks, Inc.",NYSE
GD,0000040533,GENERAL DYNAMICS CORP,NYSE
HCA,0000860730,"HCA Healthcare, Inc.",NYSE
CP,0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,NYSE
SMFG,0001022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",NYSE
AON,0000315293,Aon plc,NYSE
RACE,0001648416,Ferrari N.V.,NYSE
MCO,0001059556,MOODYS CORP /DE/,NYSE
VMW,0001124610,"VMWARE, INC.",NYSE
SAN,0000891478,"Banco Santander, S.A.",NYSE
FDX,0001048911,FEDEX CORP,NYSE
ICE,0001571949,"Intercontinental Exchange, Inc.",NYSE
STLA,0001605484,Stellantis N.V.,NYSE
TRI,0001075124,THOMSON REUTERS CORP /CAN/,NYSE
CSX,0000277948,CSX CORP,Nasdaq
ITUB,0001132597,Itau Unibanco Holding S.A.,NYSE
WDAY,0001327811,"Workday, Inc.",Nasdaq
CL,0000021665,COLGATE PALMOLIVE CO,NYSE
PYPL,0001633917,"PayPal Holdings, Inc.",Nasdaq
HUM,0000049071,HUMANA INC,NYSE
MAR,0001048286,MARRIOTT INTERNATIONAL INC /MD/,Nasdaq
APD,0000002969,"Air Products & Chemicals, Inc.",NYSE
CHTR,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",Nasdaq
MCK,0000927653,MCKESSON CORP,NYSE
ARM,0001973239,ARM HOLDINGS PLC /UK,Nasdaq
CMG,0001058090,CHIPOTLE MEXICAN GRILL INC,NYSE
TGT,0000027419,TARGET CORP,NYSE
USB,0000036104,US BANCORP \DE\,NYSE
BMO,0000927971,BANK OF MONTREAL /CAN/,NYSE
SCCO,0001001838,SOUTHERN COPPER CORP/,NYSE
ORLY,0000898173,O REILLY AUTOMOTIVE INC,Nasdaq
MNST,0000865752,Monster Beverage Corp,Nasdaq
EPD,0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,NYSE
MPC,0001510295,Marathon Petroleum Corp,NYSE
OLCLY,0001545460,"Oriental Land Co., Ltd./ADR",OTC
BN,0001001085,BROOKFIELD Corp /ON/,NYSE
CTAS,0000723254,CINTAS CORP,Nasdaq
ROP,0000882835,ROPER TECHNOLOGIES INC,Nasdaq
AMX,0001129137,AMERICA MOVIL SAB DE CV/,NYSE
PXD,0001038357,PIONEER NATURAL RESOURCES CO,NYSE
PH,0000076334,PARKER HANNIFIN CORP,NYSE
SNOW,0001640147,Snowflake Inc.,NYSE
LULU,0001397187,lululemon athletica inc.,Nasdaq
OXY,0000797468,OCCIDENTAL PETROLEUM CORP /DE/,NYSE
APH,0000820313,AMPHENOL CORP /DE/,NYSE
BNS,0000009631,BANK OF NOVA SCOTIA,NYSE
TDG,0001260221,TransDigm Group INC,NYSE
AJG,0000354190,Arthur J. Gallagher & Co.,NYSE
DELL,0001571996,Dell Technologies Inc.,NYSE
MSI,0000068505,"Motorola Solutions, Inc.",NYSE
E,0001002242,ENI SPA,NYSE
BBVA,0000842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",NYSE
ECL,0000031462,ECOLAB INC.,NYSE
FCX,0000831259,FREEPORT-MCMORAN INC,NYSE
MMM,0000066740,3M CO,NYSE
NXPI,0001413447,NXP Semiconductors N.V.,Nasdaq
PSX,0001534701,Phillips 66,NYSE
PNC,0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",NYSE
TT,0001466258,Trane Technologies plc,NYSE
HMC,0000715153,HONDA MOTOR CO LTD,NYSE
EMR,0000032604,EMERSON ELECTRIC CO,NYSE
APO,0001858681,"Apollo Global Management, Inc.",NYSE
RSG,0001060391,"REPUBLIC SERVICES, INC.",NYSE
ANZGY,0001947559,ANZ GROUP HOLDINGS LIMITED/ADR,OTC
CRWD,0001535527,"CrowdStrike Holdings, Inc.",Nasdaq
DNZOY,0001446598,Denso Corp,OTC
WELL,0000766704,WELLTOWER INC.,NYSE
CPRT,0000900075,COPART INC,Nasdaq
MRVL,0001835632,"Marvell Technology, Inc.",Nasdaq
ING,0001039765,ING GROEP NV,NYSE
PCAR,0000075362,PACCAR INC,Nasdaq
TEAM,0001650372,Atlassian Corp,Nasdaq
NGG,0001004315,NATIONAL GRID PLC,NYSE
GLD,0001222333,SPDR GOLD TRUST,NYSE
CTA-PA,0000030554,"EIDP, Inc.",NYSE
NSC,0000702165,NORFOLK SOUTHERN CORP,NYSE
AFL,0000004977,AFLAC INC,NYSE
BSBR,0001471055,Banco Santander (Brasil) S.A.,NYSE
DKILY,0001446519,Daikin Industries Ltd,OTC
ADSK,0000769397,"Autodesk, Inc.",Nasdaq
PLTR,0001321655,Palantir Technologies Inc.,NYSE
AZO,0000866787,AUTOZONE INC,NYSE
MET,0001099219,METLIFE INC,NYSE
SPG,0001063761,SIMON PROPERTY GROUP INC /DE/,NYSE
MCHP,0000827054,MICROCHIP TECHNOLOGY INC,Nasdaq
ET,0001276187,Energy Transfer LP,NYSE
PSA,0001393311,Public Storage,NYSE
SRE,0001032208,SEMPRA,NYSE
PCG,0001004980,PG&E Corp,NYSE
CCI,0001051470,CROWN CASTLE INC.,NYSE
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",NYSE
CARR,0001783180,CARRIER GLOBAL Corp,NYSE
JD,0001549802,"JD.com, Inc.",Nasdaq
HES,0000004447,HESS CORP,NYSE
ABEV,0001565025,AMBEV S.A.,NYSE
KDP,0001418135,Keurig Dr Pepper Inc.,Nasdaq
MFG,0001335730,MIZUHO FINANCIAL GROUP INC,NYSE
TAK,0001395064,TAKEDA PHARMACEUTICAL CO LTD,NYSE
ODFL,0000878927,"OLD DOMINION FREIGHT LINE, INC.",Nasdaq
EL,0001001250,ESTEE LAUDER COMPANIES INC,NYSE
ROST,0000745732,"ROSS STORES, INC.",Nasdaq
STZ,0000016918,"CONSTELLATION BRANDS, INC.",NYSE
SU,0000311337,SUNCOR ENERGY INC,NYSE
HLT,0001585689,Hilton Worldwide Holdings Inc.,NYSE
WMB,0000107263,"WILLIAMS COMPANIES, INC.",NYSE
PAYX,0000723531,PAYCHEX INC,Nasdaq
DHI,0000882184,HORTON D R INC /DE/,NYSE
TFC,0000092230,TRUIST FINANCIAL CORP,NYSE
VLO,0001035002,VALERO ENERGY CORP/TX,NYSE
NEM,0001164727,NEWMONT Corp /DE/,NYSE
LI,0001791706,Li Auto Inc.,Nasdaq
CRH,0000849395,CRH PUBLIC LTD CO,NYSE
STM,0000932787,STMicroelectronics N.V.,NYSE
DLR,0001297996,"DIGITAL REALTY TRUST, INC.",NYSE
LNG,0000003570,"Cheniere Energy, Inc.",NYSE
F,0000037996,FORD MOTOR CO,NYSE
KHC,0001637459,Kraft Heinz Co,Nasdaq
DXCM,0001093557,DEXCOM INC,Nasdaq
MSCI,0001408198,MSCI Inc.,NYSE
TEL,0001385157,TE Connectivity Ltd.,NYSE
COF,0000927628,CAPITAL ONE FINANCIAL CORP,NYSE
EW,0001099800,Edwards Lifesciences Corp,NYSE
KMB,0000055785,KIMBERLY CLARK CORP,NYSE
BAESY,0000895564,BAE SYSTEMS PLC /FI/,OTC
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC,Nasdaq
SGEN,0001060736,Seagen Inc.,Nasdaq
GWW,0000277135,"W.W. GRAINGER, INC.",NYSE
HCMLY,0000948696,LafargeHolcim Ltd/ADR,OTC
FTNT,0001262039,"Fortinet, Inc.",Nasdaq
WDS,0000844551,WOODSIDE ENERGY GROUP LTD,NYSE
ADM,0000007084,Archer-Daniels-Midland Co,NYSE
HSY,0000047111,HERSHEY CO,NYSE
COR,0001140859,"Cencora, Inc.",NYSE
TRV,0000086312,"TRAVELERS COMPANIES, INC.",NYSE
IDXX,0000874716,IDEXX LABORATORIES INC /DE,Nasdaq
GM,0001467858,General Motors Co,NYSE
D,0000715957,"DOMINION ENERGY, INC",NYSE
CEG,0001868275,Constellation Energy Corp,Nasdaq
OKE,0001039684,ONEOK INC /NEW/,NYSE
NU,0001691493,Nu Holdings Ltd.,NYSE
CRARY,0001279967,CREDIT AGRICOLE S A,OTC
EXC,0001109357,EXELON CORP,Nasdaq
BIDU,0001329099,"Baidu, Inc.",Nasdaq
CNC,0001071739,CENTENE CORP,NYSE
NUE,0000073309,NUCOR CORP,NYSE
O,0000726728,REALTY INCOME CORP,NYSE
HLN,0001900304,Haleon plc,NYSE
TRP,0001232384,TC ENERGY CORP,NYSE
KVUE,0001944048,Kenvue Inc.,NYSE
DASH,0001792789,"DoorDash, Inc.",Nasdaq
LVS,0001300514,LAS VEGAS SANDS CORP,NYSE
KMI,0001506307,"KINDER MORGAN, INC.",NYSE
IQV,0001478242,IQVIA HOLDINGS INC.,NYSE
GIS,0000040704,GENERAL MILLS INC,NYSE
DDOG,0001561550,"Datadog, Inc.",Nasdaq
MRAAY,0001450468,"Murata Manufacturing Co., Ltd./ADR",OTC
CM,0001045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,NYSE
SQ,0001512673,"Block, Inc.",NYSE
EA,0000712515,ELECTRONIC ARTS INC.,Nasdaq
BK,0001390777,Bank of New York Mellon Corp,NYSE
IAU,0001278680,ISHARES GOLD TRUST,NYSE
DOW,0001751788,DOW INC.,NYSE
LEN,0000920760,LENNAR CORP /NEW/,NYSE
BCE,0000718940,BCE INC,NYSE
YUM,0001041061,YUM BRANDS INC,NYSE
SYY,0000096021,SYSCO CORP,NYSE
MPLX,0001552000,MPLX LP,NYSE
AME,0001037868,AMETEK INC/,NYSE
PPERY,0001461748,PT Bank Mandiri (Persero) Tbk / ADR,OTC
AMP,0000820027,AMERIPRISE FINANCIAL INC,NYSE
LHX,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",NYSE
JCI,0000833444,Johnson Controls International plc,NYSE
SPOT,0001639920,Spotify Technology S.A.,NYSE
ALL,0000899051,ALLSTATE CORP,NYSE
ALC,0001167379,ALCON INC,NYSE
MFC,0001086888,MANULIFE FINANCIAL CORP,NYSE
CTSH,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Nasdaq
OTIS,0001781335,Otis Worldwide Corp,NYSE
FAST,0000815556,FASTENAL CO,Nasdaq
VRSK,0001442145,"Verisk Analytics, Inc.",Nasdaq
WCN,0001318220,"Waste Connections, Inc.",NYSE
BKR,0001701605,Baker Hughes Co,Nasdaq
CVE,0001475260,CENOVUS ENERGY INC.,NYSE
HAL,0000045012,HALLIBURTON CO,NYSE
BBD,0001160330,BANK BRADESCO,NYSE
PRU,0001137774,PRUDENTIAL FINANCIAL INC,NYSE
LYG,0001160106,Lloyds Banking Group plc,NYSE
CSGP,0001057352,"COSTAR GROUP, INC.",Nasdaq
MBLY,0001910139,Mobileye Global Inc.,Nasdaq
FERG,0001832433,Ferguson plc,NYSE
ARES,0001176948,Ares Management Corp,NYSE
GEHC,0001932393,GE HealthCare Technologies Inc.,Nasdaq
IT,0000749251,GARTNER INC,NYSE
A,0001090872,"AGILENT TECHNOLOGIES, INC.",NYSE
BIIB,0000875045,BIOGEN INC.,Nasdaq
XEL,0000072903,XCEL ENERGY INC,Nasdaq
TTD,0001671933,"Trade Desk, Inc.",Nasdaq
OEZVY,0001021020,OSTERREICHISCHE ELEKTRIZITATSWIRTSCHAFTS /FI,OTC
IBKR,0001381197,"Interactive Brokers Group, Inc.",Nasdaq
CTVA,0001755672,"Corteva, Inc.",NYSE
WTKWY,0000861967,WOLTERS KLUWER N V /FI,OTC
FIS,0001136893,"Fidelity National Information Services, Inc.",NYSE
PUK,0001116578,PRUDENTIAL PLC,NYSE
GFS,0001709048,GLOBALFOUNDRIES Inc.,Nasdaq
ORAN,0001038143,ORANGE,NYSE
IMO,0000049938,IMPERIAL OIL LTD,NYSE
PPG,0000079879,PPG INDUSTRIES INC,NYSE
URI,0001067701,"UNITED RENTALS, INC.",NYSE
CODYY,0001012037,COMPAGNIE DE SAINT GOBAIN,OTC
CMI,0000026172,CUMMINS INC,NYSE
PEG,0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,NYSE
ACGL,0000947484,ARCH CAPITAL GROUP LTD.,Nasdaq
QSR,0001618756,Restaurant Brands International Inc.,NYSE
LYB,0001489393,LyondellBasell Industries N.V.,NYSE
ED,0001047862,CONSOLIDATED EDISON INC,NYSE
NDAQ,0001120193,"NASDAQ, INC.",Nasdaq
ROK,0001024478,"ROCKWELL AUTOMATION, INC",NYSE
KR,0000056873,KROGER CO,NYSE
DD,0001666700,"DuPont de Nemours, Inc.",NYSE
BDORY,0001433913,BANCO DO BRASIL S.A.,OTC
ON,0001097864,ON SEMICONDUCTOR CORP,Nasdaq
MRNA,0001682852,"Moderna, Inc.",Nasdaq
VICI,0001705696,VICI PROPERTIES INC.,NYSE
SLF,0001097362,SUN LIFE FINANCIAL INC,NYSE
GPN,0001123360,GLOBAL PAYMENTS INC,NYSE
DVN,0001090012,DEVON ENERGY CORP/DE,NYSE
GWLIF,0000850918,GREAT-WEST LIFECO INC.,OTC
CPNG,0001834584,"Coupang, Inc.",NYSE
ARGX,0001697862,ARGENX SE,Nasdaq
MDB,0001441816,"MongoDB, Inc.",Nasdaq
CDW,0001402057,CDW Corp,Nasdaq
BF-B,0000014693,BROWN FORMAN CORP,NYSE
CHT,0001132924,CHUNGHWA TELECOM CO LTD,NYSE
TLGPY,0001947542,Telstra Group Ltd,OTC
VEEV,0001393052,VEEVA SYSTEMS INC,NYSE
DIA,0001041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,NYSE
IR,0001699150,Ingersoll Rand Inc.,NYSE
ZS,0001713683,"Zscaler, Inc.",Nasdaq
ELP,0001041792,ENERGY CO OF PARANA,NYSE
CQP,0001383650,"Cheniere Energy Partners, L.P.",NYSE
MLM,0000916076,MARTIN MARIETTA MATERIALS INC,NYSE
NTR,0001725964,Nutrien Ltd.,NYSE
PKX,0000889132,POSCO HOLDINGS INC.,NYSE
EXR,0001289490,Extra Space Storage Inc.,NYSE
FANG,0001539838,"Diamondback Energy, Inc.",Nasdaq
VMC,0001396009,Vulcan Materials CO,NYSE
CCEP,0001650107,COCA-COLA EUROPACIFIC PARTNERS plc,Nasdaq
GOLD,0000756894,BARRICK GOLD CORP,NYSE
HPQ,0000047217,HP INC,NYSE
RCL,0000884887,ROYAL CARIBBEAN CRUISES LTD,NYSE
BCS,0000312069,BARCLAYS PLC,NYSE
DG,0000029534,DOLLAR GENERAL CORP,NYSE
PWR,0001050915,"QUANTA SERVICES, INC.",NYSE
TTWO,0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,Nasdaq
MPWR,0001280452,MONOLITHIC POWER SYSTEMS INC,Nasdaq
ANSS,0001013462,ANSYS INC,Nasdaq
RYAAY,0001038683,RYANAIR HOLDINGS PLC,Nasdaq
WBD,0001437107,"Warner Bros. Discovery, Inc.",Nasdaq
FICO,0000814547,FAIR ISAAC CORP,NYSE
CAH,0000721371,CARDINAL HEALTH INC,NYSE
EFX,0000033185,EQUIFAX INC,NYSE
MDY,0000936958,SPDR S&P MIDCAP 400 ETF TRUST,NYSE
FANUY,0001446596,Fanuc Ltd,OTC
WST,0000105770,WEST PHARMACEUTICAL SERVICES INC,NYSE
TU,0000868675,TELUS CORP,NYSE
WEC,0000783325,"WEC ENERGY GROUP, INC.",NYSE
VOD,0000839923,VODAFONE GROUP PUBLIC LTD CO,Nasdaq
SPLK,0001353283,SPLUNK INC,Nasdaq
DLTR,0000935703,"DOLLAR TREE, INC.",Nasdaq
EC,0001444406,ECOPETROL S.A.,NYSE
SBAC,0001034054,SBA COMMUNICATIONS CORP,Nasdaq
AWK,0001410636,"American Water Works Company, Inc.",NYSE
COIN,0001679788,"Coinbase Global, Inc.",Nasdaq
EIX,0000827052,EDISON INTERNATIONAL,NYSE
WTW,0001140536,WILLIS TOWERS WATSON PLC,Nasdaq
WIT,0001123799,WIPRO LTD,NYSE
DB,0001159508,DEUTSCHE BANK AKTIENGESELLSCHAFT,NYSE
PCRFY,0000063271,PANASONIC Corp,OTC
CAJPY,0000016988,CANON INC,OTC
NET,0001477333,"Cloudflare, Inc.",NYSE
XYL,0001524472,Xylem Inc.,NYSE
AVB,0000915912,AVALONBAY COMMUNITIES INC,NYSE
GLW,0000024741,CORNING INC /NY,NYSE
AEM,0000002809,AGNICO EAGLE MINES LTD,NYSE
HUBS,0001404655,HUBSPOT INC,NYSE
KEYS,0001601046,"Keysight Technologies, Inc.",NYSE
BNTX,0001776985,BioNTech SE,Nasdaq
TEF,0000814052,TELEFONICA S A,NYSE
FTV,0001659166,Fortive Corp,NYSE
CBRE,0001138118,"CBRE GROUP, INC.",NYSE
RBLX,0001315098,Roblox Corp,NYSE
GIB,0001061574,CGI INC,NYSE
TCOM,0001269238,Trip.com Group Ltd,Nasdaq
WY,0000106535,WEYERHAEUSER CO,NYSE
ZBH,0001136869,"ZIMMER BIOMET HOLDINGS, INC.",NYSE
DAL,0000027904,"DELTA AIR LINES, INC.",NYSE
DSCSY,0001671750,Disco Corporation/ADR,OTC
CJPRY,0001334687,CENTRAL JAPAN RAILWAY CO,OTC
ATEYY,0001158838,ADVANTEST CORP,OTC
TLK,0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,NYSE
APTV,0001521332,Aptiv PLC,NYSE
HIG,0000874766,"HARTFORD FINANCIAL SERVICES GROUP, INC.",NYSE
NWG,0000844150,NatWest Group plc,NYSE
GRMN,0001121788,GARMIN LTD,NYSE
MTD,0001037646,METTLER TOLEDO INTERNATIONAL INC/,NYSE
FNV,0001456346,FRANCO NEVADA Corp,NYSE
RCI,0000733099,ROGERS COMMUNICATIONS INC,NYSE
CHD,0000313927,CHURCH & DWIGHT CO INC /DE/,NYSE
RMD,0000943819,RESMED INC,NYSE
ICLR,0001060955,ICON PLC,Nasdaq
SAUHY,0001451279,Straumann Holding AG / ADR,OTC
TROW,0001113169,PRICE T ROWE GROUP INC,Nasdaq
